City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
396,Edea,CM,83.39,clear sky,3.8,10.1333,Taka Hotel
400,Santa Rosa,PH,89.58,clear sky,14.3122,121.1114,JARS RESORT
411,Grand Gaube,MU,84.6,clear sky,-20.0064,57.6608,Coco Villa
416,Tabou,CI,81.09,few clouds,4.423,-7.3528,hôtel le rochet
423,Itarema,BR,77.72,overcast clouds,-2.9248,-39.9167,Pousada Oásis
433,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,Ibis Styles
437,Batemans Bay,AU,82.08,clear sky,-35.7167,150.1833,Esplanade Hotel
438,Vanimo,PG,82.56,scattered clouds,-2.6741,141.3028,CBC Guesthouse
442,Puerto Escondido,MX,75.78,clear sky,15.85,-97.0667,Hotel Barlovento
444,Axim,GH,81.34,clear sky,4.8699,-2.2405,Axim Beach Hotel
447,Fomboni,KM,82.04,light rain,-12.28,43.7425,Mohéli La Plage
449,Padang,ID,87.85,broken clouds,-0.9492,100.3543,losmen Surya
450,Monrovia,LR,77.58,few clouds,6.3005,-10.7969,Bella Casa Hotel
461,Bacolod,PH,83.66,scattered clouds,10.6667,122.95,Northwest Inn
464,Toamasina,MG,86.0,light rain,-18.1667,49.3833,Androranga
469,Broken Hill,AU,77.23,clear sky,-31.95,141.4333,Ibis Styles
470,Panama City,PA,78.84,overcast clouds,8.9936,-79.5197,Hostal Familiar Carmencita
478,Buenavista,PH,85.03,broken clouds,8.9769,125.4089,Hotel Casa Paulino
482,Manokwari,ID,83.48,scattered clouds,-0.8667,134.0833,Hotel Arfak
483,Port Augusta,AU,75.61,scattered clouds,-32.5,137.7667,Hotel Commonwealth
495,Miri,MY,86.14,scattered clouds,4.4148,114.0089,Kenyalang Suites Miri
501,Buta,CD,87.17,broken clouds,2.7858,24.73,Hôtel Rubi
506,Champerico,GT,76.1,clear sky,14.3,-91.9167,Hotel y Restaurante El Submarino
507,Muisne,EC,75.0,light rain,0.6,-80.0333,Hostal Té de Menta
508,Cocobeach,GA,80.01,scattered clouds,1.0002,9.5823,Motel Iboga
524,Abu Dhabi,AE,75.31,clear sky,24.4667,54.3667,Marriott Downtown Abu-Dhabi
